position,car,driver,pointsBack
1,45,Reddick,0
2,12,Blaney,60
3,23,Wallace,72
4,9,Elliott,97
5,97,Van Gisbergen,109
6,20,Bell,112
7,22,Logano,112
8,71,McDowell,114
9,17,Buescher,114
10,5,Larson,116
11,24,Byron,117
12,11,Hamlin,118
13,16,Allmendinger,121
14,77,Hocevar,122
15,54,Gibbs,124
16,6,Keselowski,125
17,7,Suárez,127
18,60,Preece,133
19,38,Smith,140
20,8,Busch,144
21,10,Dillon,149
22,42,Nemechek,150
23,1,Chastain,151
24,35,Herbst,153
25,4,Gragson,159
26,34,Gilliland,160
27,47,Stenhouse,161
28,43,Jones,166
29,3,Dillon,169
30,2,Cindric,173
31,21,Berry,175
32,51,Ware,175
33,19,Briscoe,178
34,88,Zilisch,180
35,41,Custer,183
36,48,Bowman,202
37,66,Mears,216
38,78,McLeod,222
39,33,Hill,225
40,33,Love,225
41,67,Heim,225
42,44,Yeley,225
43,48,Alfredo,225
44,40,Allgaier,225
45,99,LaJoie,225
46,36,Smith,225
47,84,Johnson,225
